Data,PM25,d3_mean,weekly_mean,month_max,month_std,expanding_mean,expanding_median,nested_mean,lag1d,day_of_week,month_number,season,trend,seasonal,resid
2022-04-06,4.735184,7.843714000000001,9.786707000000002,45.629708,10.97453135431928,15.541319252631578,11.266839,11.806567285714285,6.749169,2,4,1,9.23397258042859,0.9492067928534444,-5.447995373282034
2022-04-07,12.463987,7.462658333333333,8.700741285714285,45.629708,11.21855691640995,15.42875534375,11.0852305,10.857966571428571,4.735184,3,4,1,9.319263740216863,-0.6867219322665005,3.831445192049637
2022-04-08,4.35431,7.982780000000001,9.522346714285714,45.629708,11.264227651730517,15.398190721649483,11.266839,9.880865095238095,12.463987,4,4,1,9.491386290111581,-3.2158058188030374,-1.921270471308544
2022-04-09,6.386183,7.184493666666666,8.099409142857143,45.629708,11.609700574472852,15.28549806122449,11.0852305,9.336598333333333,4.35431,5,4,1,9.676617510244661,-2.7110796620003037,-0.5793548482443569
2022-04-10,6.132209,7.734826666666667,7.352972285714286,45.629708,11.657935459273311,15.195605989898988,10.903622,8.774165714285713,6.386183,6,4,1,9.822165001823032,-0.4659371383697737,-3.224018863453259
2022-04-11,6.477083,5.624234,7.389237714285714,45.629708,11.892087271348071,15.10497202,10.8947185,8.32490938095238,6.132209,0,4,1,9.941489116904709,-0.6422504160819886,-2.8221557008227194
2022-04-12,14.677334,6.331824999999999,6.756875,45.629708,12.125837227976639,15.019547376237623,10.885815,7.613873047619047,6.477083,1,4,1,10.081590291808189,0.8670803704746418,3.728663337717169
2022-04-13,16.908809,9.095542,7.88947,45.629708,12.085246932407342,15.016192343137254,10.8947185,7.166361666666667,14.677334,2,4,1,10.255863338277509,1.5195868022440397,5.133358859478452
2022-04-14,22.660063,12.687742,9.628559285714287,45.629708,12.013707465394175,15.034567262135923,10.903622,7.345194238095238,16.908809,3,4,1,10.464593526855829,2.4707384058869617,9.72473106725721
2022-04-15,14.314483,18.082068666666668,11.08514157142857,45.629708,11.964400250865523,15.107889336538461,11.0852305,8.091634761904762,22.660063,4,4,1,10.688444802008274,0.5275288595260652,3.098509338465661
2022-04-16,3.102463,17.961118333333335,12.508023428571429,45.629708,11.98786133518423,15.100333085714285,11.266839,9.534390285714286,14.314483,5,4,1,10.855770391979828,0.5660079309118842,-8.319315322891711
2022-04-17,7.438654,13.359003000000001,12.038920571428573,45.629708,11.972613555610424,14.987145632075473,11.0852305,11.073908095238096,3.102463,6,4,1,10.903778204003752,-0.5157775169927955,-2.949346687010957
