Data,d3_mean,month_std,lag1d,day_of_week,season,trend,seasonal
2022-04-15,18.082068666666668,11.964400250865523,22.660063,4,1,10.688444802008274,0.5275288595260652
2022-04-16,17.961118333333335,11.98786133518423,14.314483,5,1,10.855770391979828,0.5660079309118842
2022-04-17,13.359003000000001,11.972613555610424,3.102463,6,1,10.903778204003752,-0.5157775169927955
2022-04-18,8.2852,11.81483850927195,7.438654,0,1,10.829379642351377,-0.31004586975993687
2022-04-19,6.156539666666667,10.9986388253899,7.928502,1,1,10.65124845029064,0.4246045486110751
2022-04-20,7.2450883333333325,10.847752743156375,6.368109,2,1,10.420404773776669,-2.042299448007516
2022-04-21,8.732718333333333,10.600086267414218,11.901544,3,1,10.217510604549291,-1.6057476755236486
2022-04-22,10.208246333333333,9.430530543832763,12.355086,4,1,10.130479054104036,-0.8827040722370687
2022-04-23,11.883373,7.185366937071957,11.393489,5,1,10.198357994103652,-0.23553217888644906
2022-04-24,12.264359666666666,6.336942746521264,13.044504,6,1,10.387260211470407,0.4437738980868111
2022-04-25,11.955936,4.655221086577945,11.429815,0,1,10.615282163672967,2.0056061140295802
2022-04-26,10.383658666666665,4.4970905370519745,6.676657,1,1,10.783243917327903,2.7006219686500064
2022-04-27,8.533148666666666,4.503138753547083,7.492974,2,1,10.83932325642906,-0.5784854110399734
2022-04-28,7.837683999999999,4.441562792764015,9.343421,3,1,10.803627414563076,-1.174854642254025
2022-04-29,9.603495666666667,4.299229110136542,11.974092,4,1,10.703859784439953,0.25417610842210664
2022-04-30,10.946118333333333,4.286071996870417,11.520842,5,1,10.588782704064206,-0.27682783649995557
2022-05-01,12.161646333333332,4.277904501661886,12.990005,6,1,10.527182876966853,0.5034806527747145
2022-05-02,13.480112,4.342205445711612,15.929489,0,1,10.540331256691536,-0.9159310443085052
2022-05-03,12.899427666666668,4.334133680180603,9.778789,1,1,10.593730128279564,-1.5551121809875783
2022-05-04,11.260582666666666,4.2783954507125825,8.07347,2,1,10.625039586540295,-0.7320975041612569
2022-05-05,9.240676333333333,4.276558148845251,9.86977,3,1,10.572429653705262,-0.09697134972024064
2022-05-06,9.815208666666667,4.234094308967826,11.502386,4,1,10.411260844570714,0.08259169149672978
2022-05-07,10.099443333333333,4.111260069659542,8.926174,5,1,10.172440836686121,2.0062455641638866
2022-05-08,10.613452333333333,4.097927752555272,11.411797,6,1,9.907040989943033,1.9150045724320541
2022-05-09,9.397905333333332,3.967223133638692,7.855745,0,1,9.659803425110505,-1.405943888559802
2022-05-10,8.877807666666667,3.9358551347478348,7.365881,1,1,9.483902070381765,-0.8608616782232206
2022-05-11,9.180142333333334,3.8570668041985328,12.318801,2,1,9.423741585149427,1.3628002986757575
2022-05-12,11.278755666666669,3.8169782980083284,14.151585,3,1,9.455712537309429,0.4276258327351634
2022-05-13,12.077111333333335,3.7598061606062134,9.760948,4,1,9.500252502146036,0.9265382334108404
2022-05-14,10.698276333333334,3.610258165758748,8.182296,5,1,9.495384129860923,-0.3633722225850066
2022-05-15,8.436450666666667,2.8420761475513476,7.366108,6,1,9.41862034023478,-1.7762138278226494
2022-05-16,7.238958666666666,2.8104393583897394,6.168472,0,1,9.257729804235275,-0.799076834252668
